元灵法盾|7|3|300|7|6|6|6|6|3|6|3|3|35
元灵法盾|8|4|300|7|6|7|7|7|3|7|3|4|40
元灵法盾|9|4|300|7|6|8|8|8|4|8|4|4|45
元灵法盾|10|5|600|7|6|9|9|9|4|9|4|5|50
元灵道盾|2|1|100|9|8|1|1|1|0|1|0|1|10
元灵道盾|3|1|10|9|8|2|2|2|1|2|1|1|15
元灵道盾|4|2|200|9|8|3|3|3|1|3|1|2|20
元灵道盾|5|2|200|9|8|4|4|4|2|4|2|2|25
元灵道盾|6|3|300|9|8|5|5|5|2|5|1|3|30
元灵道盾|7|3|300|9|8|6|6|6|3|6|3|3|35
元灵道盾|8|4|300|9|8|7|7|7|3|7|3|4|40
元灵道盾|9|4|300|9|8|8|8|8|4|8|4|4|45
元灵道盾|10|5|600|9|8|9|9|9|4|9|4|5|50
元灵战盾|10|5|800|5|4|9|11|15|6|13|5|6|50
元灵战盾|11|5|800|5|4|10|11|16|6|14|5|7|53
元灵战盾|12|6|800|5|4|11|12|16|7|14|6|7|56
元灵战盾|13|7|800|5|4|12|12|17|7|15|6|8|59
元灵战盾|14|8|800|5|4|13|13|17|8|15|7|8|62
元灵战盾|15|9|1600|5|4|14|13|18|8|16|7|9|67
元灵法盾|10|5|800|7|6|9|11|15|6|13|5|6|50
元灵法盾|11|5|800|7|6|10|11|16|6|14|5|7|53
元灵法盾|12|6|800|7|6|11|12|16|7|14|6|7|56
元灵法盾|13|7|800|7|6|12|12|17|7|15|6|8|59
元灵法盾|14|8|800|7|6|13|13|17|8|15|7|8|62
元灵法盾|15|9|1600|7|6|14|13|18|8|16|7|9|67
元灵道盾|10|5|800|9|8|9|11|15|6|13|5|6|50
元灵道盾|11|5|800|9|8|10|11|16|6|14|5|7|53
元灵道盾|12|6|800|9|8|11|12|16|7|14|6|7|56
元灵道盾|13|7|800|9|8|12|12|17|7|15|6|8|59
元灵道盾|14|8|800|9|8|13|13|17|8|15|7|8|62
元灵道盾|15|9|1600|9|8|14|13|18|8|16|7|9|67
虎王盾1|2|1|100|5|4|1|3|4|1|3|0|2|10
虎王盾1|3|1|100|5|4|2|4|5|2|4|1|2|15
虎王盾1|4|2|200|5|4|3|5|6|2|5|1|3|20
虎王盾1|5|2|200|5|4|4|6|7|3|6|2|3|25
虎王盾1|6|3|300|5|4|5|7|8|3|7|2|4|30
虎王盾1|7|3|300|5|4|6|8|9|4|8|3|4|35
虎王盾1|8|4|300|5|4|7|9|10|4|9|3|5|40
虎王盾1|9|4|300|5|4|8|10|11|5|10|4|5|45
虎王盾1|10|5|600|5|4|9|11|12|5|11|4|6|50
虎王盾2|2|1|100|7|6|1|3|4|1|3|0|2|10
虎王盾2|3|1|100|7|6|2|4|5|2|4|1|2|15
虎王盾2|4|2|200|7|6|3|5|6|2|5|1|3|20
虎王盾2|5|2|200|7|6|4|6|7|3|6|2|3|25
虎王盾2|6|3|300|7|6|5|7|8|3|7|2|4|30
虎王盾2|7|3|300|7|6|6|8|9|4|8|3|4|35
虎王盾2|8|4|300|7|6|7|9|10|4|9|3|5|40
虎王盾2|9|4|300|7|6|8|10|11|5|10|4|5|45
虎王盾2|10|5|600|7|6|9|11|12|5|11|4|6|50
虎王盾3|2|1|100|9|8|1|3|4|1|3|0|2|10
虎王盾3|3|1|100|9|8|2|4|5|2|4|1|2|15
虎王盾3|4|2|200|9|8|3|5|6|2|5|1|3|20
虎王盾3|5|2|200|9|8|4|6|7|3|6|2|3|25
虎王盾3|6|3|300|9|8|5|7|8|3|7|2|4|30
虎王盾3|7|3|300|9|8|6|8|9|4|8|3|4|35
虎王盾3|8|4|300|9|8|7|9|10|4|9|3|5|40
虎王盾3|9|4|300|9|8|8|10|11|5|10|4|5|45
虎王盾3|10|5|600|9|8|9|11|12|5|11|4|6|50
血月虎王盾1|10|5|400|5|4|9|11|15|6|13|5|6|50
血月虎王盾1|11|5|400|5|4|10|11|16|6|14|5|7|53
血月虎王盾1|12|6|400|5|4|11|12|16|7|14|6|7|56
血月虎王盾1|13|7|400|5|4|12|12|17|7|15|6|8|59
血月虎王盾1|14|8|400|5|4|13|13|17|8|15|7|8|62
血月虎王盾1|15|9|800|5|4|14|13|18|8|16|7|9|67
血月虎王盾2|10|5|400|7|6|9|11|15|6|13|5|6|50
血月虎王盾2|11|5|400|7|6|10|11|16|6|14|5|7|53
血月虎王盾2|12|6|400|7|6|11|12|16|7|14|6|7|56
血月虎王盾2|13|7|400|7|6|12|12|17|7|15|6|8|59
血月虎王盾2|14|8|400|7|6|13|13|17|8|15|7|8|62
血月虎王盾2|15|9|800|7|6|14|13|18|8|16|7|9|67
血月虎王盾3|10|5|400|9|8|9|11|15|6|13|5|6|50
血月虎王盾3|11|5|400|9|8|10|11|16|6|14|5|7|53
血月虎王盾3|12|6|400|9|8|11|12|16|7|14|6|7|56
血月虎王盾3|13|7|400|9|8|12|12|17|7|15|6|8|59
血月虎王盾3|14|8|400|9|8|13|13|17|8|15|7|8|62
血月虎王盾3|15|9|800|9|8|14|13|18|8|16|7|9|67
